Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Injured Person,1155 E. 60th St. (Harris School),6/23/15 9:48 AM,6/23/15 8:45 AM,Individual fell while walking on stairs to Harris School causing pain to left knee / Transported to Occupational Medicine for evaluation and treatment,Closed,E00406
Theft,5758 S. Maryland (DCAM),6/23/15 12:16 PM,6/23/15 9:00 AM to 11:00 AM,Cash taken from unsecured console in vehicle left  in custody of valet service,Open,E00407
Non-Criminal Fire,5840 S. Maryland (Parking Structure),6/24/15 8:52 PM,6/24/15 8:50 PM,Fire in over-head electrical fixture on 3rd floor melted plastic fixture that fell onto the hood and quarter panel of a vehicle parked below / Fire extinguished by Public Safety Officer / Property damage only / No reported injuries,Closed,E00408
Information / Robbery,5327 S. Dorchester (Public Way),6/24/15 10:10 PM,6/24/15 10:10 PM,Unknown suspect took cash from a victim walking on the sidewalk / CPD case,CPD,
Damage to Property,1150 E. 58th St. (Saieh Hall),6/25/15 11:04 AM,6/25/15 11:00 AM,2' x 3' window on 2nd floor broken / Cause unknown at this time,Closed,E00409
Lost Property,5815 S. Maryland (Mitchell Hospital),6/25/15 1:18 PM,6/17/15 2:00 AM to 3:00 AM,Patient reports wallet lost from his pants pocket as he was transported to various locations in the hospital,Closed,E00410
Lost Property,5225 S. Cottage Grove (Facilities Services),6/25/15 2:30 PM,6/2/15 to 6/25/15 5:00 PM to 11:00 AM,"Spool of electrical power cable taken from 2nd floor storage cage / Follow up investigation revealed no theft occurred / Property lost, unaccounted for",Closed,E00411
Information / Robbery,5658 S. Blackstone (Public Way),6/25/15 11:20 PM,6/25/15 11:15 PM,Unknown suspect took purse from victim walking on the sidewalk off campus / No injuries reported / CPD case,CPD,
Information,5545 S. Woodlawn,6/26/15 1:22 AM,6/26/15 1:22 AM,Individual seen pulling on doors of vehicles parked on the street / Fled upon seeing UCPD / Detained and released,Closed,E00412
Medical Call,5811 S. Ellis (Cobb Hall),6/26/15 8:26 AM,6/26/15 8:26 AM,Individual suffered a seizure / Transported to Student Health for evaluation and treatment,Closed,E00413
Lost Property,Between 915 E. 60th St. & 6031 S. Ellis,6/27/15 6:26 AM,6/26/15 3:00 PM to 6:00 PM,Individual reported losing a canvas bag containing wallet,Closed,E00414
Information / Aggravated Robbery,5600 S. Harper (Public Way),6/27/15 10:38 PM,6/27/15 10:30 PM,"Two unknown suspects, implying a weapon, took property from four victims sitting on a bench on the public way off campus / No weapon seen / Victims reported no injuries / Suspects fled in a waiting vehicle / CPD case",CPD,
No Incident Reports this date - 6/28/15,No Incident Reports this date - 6/28/15,No Incident Reports this date - 6/28/15,No Incident Reports this date - 6/28/15,No Incident Reports this date - 6/28/15,No Incident Reports this date - 6/28/15,No Incident Reports this date - 6/28/15
Theft,5815 S. Maryland (Mitchell Hospital Gift Shop),6/29/15 8:43 AM,6/29/15 8:15 AM,Individual took items of merchandise from the gift shop without paying / Detained by UCM Public Safety and arrested by UCPD,Arrest,E00415
Theft,1362 E. 59th St. (Lab School Bike Rack),6/29/15 11:38 AM,6/26/15 to 6/29/15 3:00 PM to 8:20 AM,Secured bicycle taken from bike rack,Open,E00416
Burglary,1100 E. 57th St. (Regenstein Library),6/29/15 12:16 PM,6/29/15 11:50 AM to 12:00 PM,"Unattended, unsecured laptop computer taken from table on 3rd floor / Follow-up investigation resulted in the arrest of the suspect on 7/7/15",Arrest,E00417
Information / Criminal Sexual Assault,5639 S. University (Fraternity House),6/29/15 5:25 PM,6/23/15 11:45 PM,Victim reported she was sexually assaulted by an acquaintance while visiting in his room at an off-campus fraternity house. Chicago police are investigating. CPD case HY321112.,CPD,E00418
Information / Robbery,52nd between Ellis & Greenwood,6/29/15 9:40 PM,6/29/15 9:30 PM,Victim was about to enter parked vehicle on the street off campus when approached by two unknown suspects who forcibly took victim's property / Victim reported no injuries / CPD case,CPD,
Information / Burglary,Ellis between 54th & 55th,6/30/15 7:29 PM,6/30/15 3:00 PM to 7:00 PM,Unknown person(s) gained entry to off campus private apartment via rear door taking property therefrom / CPD case HY 322607,CPD,
Theft,5700 S. Drexel,7/1/15 2:06 PM,7/1/15 9:00 AM to 1:30 PM,Cell phone left unattended and unsecured taken from vehicle left in custody of valet service,Open,E00419
Lost Property,5841 S. Maryland (UCM),7/1/15 5:17 PM,6/29/15 6:00 PM to 6:30 PM,Staff member reported losing iPhone,Closed,E00420
Information / Attempt Burglary,Harper between 57th & 58th,7/1/15 6:37 PM,7/1/15 6:37 PM,Unknown person(s) forced front door to an off campus private apartment in an attempt to gain entry / CPD case,CPD,
Lost Property,Between 1100 E. 57th St. to 5801 S. Ellis,7/2/15 12:09 PM,7/2/15 10:30 AM to 11:30 AM,Individual lost wallet while walking on campus,Closed,E00421
Theft,950 E. 59th St. (UMC),7/2/15 9:57 AM,6/25/15 to 7/1/15 11:00 AM to 3:10 PM,Physician's prescription pad taken from office by unknown person,Open,E00422
Void,Void,Void,Void,Number generated for test purposes,Void,E00423
Information / Robbery,54th at Woodlawn,7/2/15 10:16 PM,7/2/15 10:05 PM,Unknown suspect forcibly took shoulder bag from victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY325404,CPD,
Information,6000 S. Ellis (Public Way),7/3/15 8:15 PM,7/3/15 8:15 PM,Complainant reported being touched on the buttocks by a person passing by on the sidewalk / Suspect claimed the touching was accidental / Complainant refused to press charges,Closed,E00424
Information / Aggravated Robbery,Woodlawn between 54th & 55th,7/3/15 10:23 PM,7/3/15 9:40 PM,Two suspects implying a weapon took property from two victims entering the vestibule of a private residence off campus / No weapon displayed / No injuries reported / CPD case HY326574,CPD,
No Incident Reports this date - 7/4/15,No Incident Reports this date - 7/4/15,No Incident Reports this date - 7/4/15,No Incident Reports this date - 7/4/15,No Incident Reports this date - 7/4/15,No Incident Reports this date - 7/4/15,No Incident Reports this date - 7/4/15
Information / Weapon Turn-In,901 E. 58th St. (Mitchell ER),7/5/15 1:16 AM,7/5/15 1:16 AM,Private ambulance crew found knife on patient brought into ER for treatment / Weapon turned over to UCPD and inventoried,Closed,E00425
Information / Aggravated Robbery,5215 S. Woodlawn (Elm Park),7/5/15 4:45 PM,7/5/15 4:45 PM,An unknown suspect implied a weapon and took a wallet and cell phone from a victim in a park off campus / No weapon seen / Victim reported no injury / CPD report,CPD,
Information / Burglary / Home Invasion,Harper between 56th & 57th,7/5/15 10:05 PM,7/5/15 9:55 PM,Two unknown suspects entered private residence off campus via basement door / Confronted residents while armed with a handgun / Suspects took victim's property before fleeing / CPD case HY329175,CPD,
Information / Missing Property,901 E. 58th St. (Mitchell ER),7/6/15 1:07 PM,6/26/15 to 7/5/15,Items of patient's property reported missing,Closed,E00426
Non-Criminal / Fire,5720 S. Woodlawn (Exterior),7/6/15 3:09 PM,7/6/15 3:09 PM,Trash smoldering in dumpster at rear of building extinguished by CFD / No property damage or personal injuries reported / Cause undetermined,Closed,E00427
Criminal Trespass to Property,1100 E. 57th St. (Regenstein Library),7/7/15 9:29 AM,7/7/15 9:23 AM,UCPD investigators arrested an unauthorized individual for trespass to the library / Subsequent to follow up investigation subject was charged with three counts of burglary for previous thefts of property from the library,Arrest,E00428
Theft,5700 S. Maryland (CCD Café),7/7/15 2:18 PM,7/6/15 4:05 PM to 7:30 PM,"Staff member reported lost wallet / Follow up investigation revealed the victim's wallet was taken by an unidentified suspect / Investigation continues / As a result of follow-up investigation a suspect was identified, arrested by UCPD and charged with theft on 7/14/15",Arrest,E00429
Found Property,5815 S. Maryland (UCM Starbucks Café),7/8/15 11:31 AM,7/8/15 11:31 AM,Unattended book bag found in Starbucks Café / Turned over to UCPD and inventoried for safekeeping,Closed,E00430
Theft,5530 S. Ellis (Ratner A.C.),7/8/15 12:20 PM,7/1/15 to 7/7/15 10:00 PM to 8:00 PM,Unicycle taken from locker in locker room,Open,E00431
Information / Armed Robbery,6300 S. Blackstone (Public Way),7/8/15 2:21 PM,7/8/15 2:15 PM,"Unknown suspect, armed with a handgun, took property from a victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY332611",CPD,
Information / Robbery,5238 S. Harper (Public Way),7/9/15 1:15 AM,7/9/15 12:50 AM,Two unknown suspects forcibly took a cell phone from a victim walking on the sidewalk off campus / CPD case,CPD,
Theft,5848 S. University (Beecher Hall),7/9/15 3:51 PM,7/2/15 to 7/6/15 6:00 PM to 9:00 AM,Cash taken from desk drawer in 2nd floor office,Open,E00432
Theft,1414 E. 59th St. (I-House Bike Rack),7/9/15 5:19 PM,7/9/15 7:15 AM to 4:45 PM,Secured bicycle taken from bike rack,Open,E00433
Information / Armed Robbery,Drexel between 53rd & 54th,7/9/15 9:23 PM,7/9/15 9:20 PM,"Two unknown suspects, one armed with a handgun, took property from a victim on the porch of a private residence off campus / Victim reported no injuries / CPD case HY334440",CPD,
Theft,5815 S. Maryland (Mitchell Hospital),7/10/15 8:27 AM,7/9/15 to 7/10/15 5:30 PM to 8:30 AM,"Unattended, unsecured bag containing a computer keyboard taken from under desk in work area",Open,E00435
Traffic Crash / Property Damage,5656 S. Maryland (Parking Facility),7/10/15 1:59 PM,7/10/15 12:10 PM,UC owned vehicle damaged in single vehicle accident / Property damage only / No injuries reported,Closed,E00436
Criminal Damage to Property,5840 S. Kenwood (Lab School),7/10/15 5:17 PM,7/8/15 to 7/10/15 9:00 AM to 9:00 AM,Graffiti scrawled on walls of men's and women's restrooms in cafeteria,Open,E00437
No Incident Reports this date - 7/11/15,No Incident Reports this date - 7/11/15,No Incident Reports this date - 7/11/15,No Incident Reports this date - 7/11/15,No Incident Reports this date - 7/11/15,No Incident Reports this date - 7/11/15,No Incident Reports this date - 7/11/15
Information,5400 S. Blackstone (Public Way),7/12/15 4:42 AM,7/12/15 4:42 AM,"UCPD officer observed two suspects pulling on doors of cars parked on the street / Upon further investigation, one suspect had in his possession a cell phone that was not his property / Individuals turned over to parent / Cell phone inventoried for safekeeping",Closed,E00438
No Incident Reports this date - 7/13/15,No Incident Reports this date - 7/13/15,No Incident Reports this date - 7/13/15,No Incident Reports this date - 7/13/15,No Incident Reports this date - 7/13/15,No Incident Reports this date - 7/13/15,No Incident Reports this date - 7/13/15
Theft,6045 S. Kenwood (Toyota Tech Parking Lot),7/14/15 2:30 PM,7/9/15 9:00 AM,Victim placed laptop computer on roof of vehicle in parking lot / Unknown person took computer,Open,E00439
Theft,5735 S. Ellis (Searle Lab),7/14/15 2:38 PM,7/14/15 2:00 PM to 2:35 PM,Unattended laptop computer taken from desk top in unsecured reception office,Open,E00440
Theft,5848 S. University (Kelly Hall),7/14/15 2:50 PM,7/14/15 1:30 PM to 2:15 PM,Unattended cell phone taken from desk top in unsecured office,Open,E00441
Theft,1155 E. 57th St. (Quadrangle Club),7/14/15 6:22 PM,7/13/15 to 7/14/15 12:00 PM to 5:00 PM,Eight 2'x4' wood and steel panels (stage) taken from the rear property of the club,Open,E00442
Information / Aggravated Battery,5152 S. Drexel (Public Way),7/14/15 7:50 PM,7/14/15 7:50 PM,Individual sitting in vehicle parked on the street off campus suffered a gunshot wound to the shoulder when shots were fired by an unknown suspect from a passing car / CPD case,CPD,
Lost Property,1111 E. 60th St. (Law School),7/15/15 9:35 AM,7/14/15 1:00 PM to 2:00 PM,Staff member reports losing wallet,Closed,E00443
Non-Criminal Damage to Property,915 E. 60th St. (Logan Center),7/15/15 10:44 AM,7/14/15 to 7/15/15 9:00 AM to 10:40 AM,Report of scratch marks on elevator wall / Cause unknown,Closed,E00444
Information / Attempt Burglary,Ellis between 54th & 55th,7/16/15 8:16 AM,7/16/15 7:50 AM,Unknown suspect attempted to gain entry to off campus private apartment via an unlocked window / Suspect fled when confronted by resident / CPD case HY342697,CPD,
Void,Void,Void,Void,Number generated in error,Void,E00445
Injured Person,1118 E. 58th St. (Quad),7/16/15 4:13 PM,7/16/15 1:00 PM,Individual injured right ankle while playing football in the Quad / Refused medical,Closed,E00446
Non Criminal / Fire,900 E. 57th St. (Knapp Center),7/17/15 2:06 AM,7/17/15 2:05 AM,A vacuum pump in the north penthouse maintenance room malfunctioned and burned / no property other than the pump was damaged / No injuries / CFD responded,Closed,E00447
Lost Property,970 E. 58th St. (Bookstore),7/17/15 2:13 PM,7/17/15 9:00 AM to 10:00 AM,Unattended iPhone taken from table in bookstore / Follow-up investigation revealed the owner could not recall possessing the phone while in the bookstore / Reclassified as lost property,Closed,E00448
Found Property,1212 E. 59th St. (Public Way),7/17/15 2:16 PM,7/7/15 9:30 PM,Ring with clear stone setting found on the sidewalk turned over to UCPD and inventoried for safekeeping,Closed,E00449
Information / Disturbance,5807 S. Woodlawn (Booth School),7/17/15 6:57 PM,7/17/15 6:57 PM,Unauthorized subject entered the building a created a disturbance / Peace restored upon arrival of UCPD officers / Subject warned of trespassing and sent on his way,Closed,E00450
No Incident Reports this date - 7/18/15,No Incident Reports this date - 7/18/15,No Incident Reports this date - 7/18/15,No Incident Reports this date - 7/18/15,No Incident Reports this date - 7/18/15,No Incident Reports this date - 7/18/15,No Incident Reports this date - 7/18/15
No Incident Reports this date - 7/19/15,No Incident Reports this date - 7/19/15,No Incident Reports this date - 7/19/15,No Incident Reports this date - 7/19/15,No Incident Reports this date - 7/19/15,No Incident Reports this date - 7/19/15,No Incident Reports this date - 7/19/15
Void,Void,Void,Void,Number generated in error,Void,E00451
Theft,5850 S. Kenwood,7/20/15 1:12 PM,7/17/15 to 7/20/15 1:30 PM to 5:00 AM,Power saw taken from gang box in fenced construction area / Follow-up investigation revealed another company employee borrowed the saw for another job  / No crime occurred,Unfounded,E00452
Theft,929 E. 57th St. (Gordon Center),7/20/15 2:53 PM,7/20/15 2:50 PM to 2:53 PM,Cell phone left unattended on window sill in 2nd floor room taken by an unknown person,Open,E00453
Possession of Narcotics,901 E. 58th St. (Mitchell ER),7/21/15 8:36 PM,7/21/15 8:36 PM,Staff member found a package of heroin in possession of critically ill patient while being admitted / Narcotics turned over to UCPD for disposal / No charges due to patient's medical condition,Closed,E00454
Injured Person,821 E. 55th St. (Stagg Field),7/21/15 7:02 PM,7/21/15 7:00 PM,Individual struck his head on goal post while playing soccer / Transported to ER by CFD EMS for evaluation and treatment,Closed,E00455
No Incident Reports this date - 7/22/15,No Incident Reports this date - 7/22/15,No Incident Reports this date - 7/22/15,No Incident Reports this date - 7/22/15,No Incident Reports this date - 7/22/15,No Incident Reports this date - 7/22/15,No Incident Reports this date - 7/22/15
Information / Robbery,Kimbark between 55th & 56th,7/23/15 12:30 AM,7/23/15 12:05 AM,Unknown suspect took property from a victim entering a private apartment building off campus / Victim reported no injuries / CPD report,CPD,
Assist Other Agency / Missing Person,Drexel between 53rd & 54th,7/23/15 1:15 PM,7/23/15 1:15 PM,UCPD officers located an individual who had been reported missing to CPD / Individual turned over to CPD / CPD HY349533,CPD,E00456
Theft,5700 S. Maryland (CCD),7/24/15 2:47 PM,6/18/15 to 7/24/15 12:00 PM to 1:30 PM,Unknown person took physician's prescription pad,Open,E00457
Injured Person,5630 S. University (Max Palevsky RH),7/24/15 5:55 PM,7/24/15 5:50 PM,Individual jumping on bed fell and struck head on window sill causing laceration to scalp / Transported to Comer ER for evaluation and treatment,Closed,E00458
Information,54th & Ridgewood,7/25/15 12:50 AM,7/25/15 12:30 AM,Unknown suspect asked victim for money / Suspect took cash and fled / Complainant refused police report,,
